,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9
4020,True,0,0,0,308,296,3,14227,True,False,7198,False,False,True,True,True,False,0.0,1.0,0,0,1,0.0,1.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.2666481608246585,-0.3204888165588334,1.9577865962486194,0.7335256739692615,-0.32445343580256875,1.3523021904608918,1.4790025552369892,1.0612276234901794,-2.697969280725298,-2.3443235577274497
4021,False,0,0,0,133,315,6,43909,False,False,6109,False,False,True,True,True,False,0.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.20959376583949213,-0.4006992719355164,2.1034238116662953,0.8663199842243771,-0.18534911431506632,1.523277451447489,1.6928230234340214,1.4863318459633907,-2.9645823694053917,-2.5236735336866376
4022,False,9,0,0,766,1722,14,84945,True,False,82440,False,False,True,False,True,False,0.0,0.0,0,1,0,0.0,1.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.062462340888181575,-0.497996888389431,2.686496040460593,0.88914669034352,-0.5436958105561044,1.6330037914231323,1.797757941267982,1.488593793497624,-3.506805509132023,-2.9818134692736646
4023,False,0,1,0,35,236,0,6569,False,False,2345,False,False,True,True,True,False,0.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.15380300666355906,-0.22524884221081415,1.2819044534536497,0.4514719035359469,-0.26733241313578604,0.8484671884174355,0.9139678379919909,0.742911549662797,-1.8550965217060447,-1.501789120797131
4024,False,0,0,0,2355,2141,46,1599,True,False,21050,False,False,False,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,10,10,10,0,132,180,255,255,255,221,238,246,51,51,51,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4025,False,0,0,0,3442,1149,53,9051,True,False,25606,False,False,True,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,192,222,237,255,0,0,192,222,237,221,238,246,51,51,51,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4026,False,0,0,0,1769,480,14,313,True,False,17229,False,False,False,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,221,46,68,0,0,0,0,0,0,0,0,0,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4027,False,0,0,0,1912,1091,37,294,True,False,21367,False,True,True,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,19,21,22,255,0,0,255,0,0,0,0,0,192,192,192,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4028,False,0,0,0,663,50,6,42,False,False,12657,False,True,True,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,19,21,22,0,153,153,238,238,238,239,239,239,51,51,51,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4029,False,0,0,0,3537,1918,32,2393,True,False,5532,False,True,True,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,26,27,31,47,194,239,24,26,30,37,36,41,102,102,102,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4030,True,0,0,0,508,1056,15,126669,False,False,128429,False,False,False,True,False,False,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0,0,152,28,235,0,0,0,0,0,0,0,0,0,-0.10995884414009058,-0.3000622206512592,1.4518343973548598,0.44583635736887084,-0.23173148628229676,0.8127042602989367,1.259147061714386,0.6929783020601916,-2.000800888012516,-1.6175930417013626
4031,False,2,0,0,6,50,0,126,False,False,57,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.23382246214589533,-0.44441863392885755,2.154620513427708,0.765901790652309,-0.11192278578646273,1.6071672731633373,1.6249834188342778,1.2268693325989577,-3.019673705495717,-2.4561278845342436
4032,False,0,0,0,5076,5277,49,12461,False,False,19395,False,False,False,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,232,28,79,0,0,0,0,0,0,0,0,0,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4033,False,0,0,0,3076,695,72,2763,True,False,25136,False,True,True,False,False,False,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,255,0,8,24,26,30,246,151,49,0,0,0,-0.06636252372026563,-0.06471857090926487,0.6050629834237706,0.253359726716805,-1.9113504231213496e-06,0.5170055491306591,0.44338009649644267,0.37463011340036945,-0.7054872649953602,-0.6157800554296482
4034,False,0,0,0,183,7,5,17,False,False,3894,False,False,True,False,True,False,0.0,0.0,0,0,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.17290421102941267,-0.7782829776350135,3.487401818948097,0.9949603757810628,-0.5950272601988554,1.9789507704437657,2.497084633129221,1.60267460672154,-4.152618602156111,-3.3876237100081017
4035,True,0,12,0,1018,753,5,119745,True,False,12559,False,False,True,True,True,False,0.0,1.0,0,0,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.3838521784515503,-0.8004949597318802,3.4393661222986047,1.2811057936639871,-0.20436033493763042,2.5219095756082215,2.152724990880184,1.8700187269824802,-4.155886298919727,-3.7310414034841024
4036,False,0,5,0,1390,2337,2,184803,False,False,42245,False,False,False,True,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,250,184,30,0,0,0,0,0,0,0,0,0,-0.19119580235088235,-0.3650371947465893,1.3087104875592497,0.5010565963288497,-0.1504243933950029,0.9682662798618127,1.0428270398618176,0.8413322187539349,-1.756492797878853,-1.4599688193160563
4037,True,4,0,0,5299,3825,90,1155,True,False,10793,False,False,True,True,False,False,0.0,1.0,0,1,0,0.0,0.0,0.0,198,226,238,31,152,199,198,226,238,218,236,244,102,59,18,-0.2811706160277712,-0.2726237764003816,2.1933914196787954,0.9489624519998743,-0.21168583089843618,1.506651555409864,1.4871532422175053,1.1709249056829394,-2.854304732467888,-2.4892912262993465
4038,False,0,4,0,405,233,3,6425,False,False,13203,False,False,True,True,True,False,1.0,0.0,0,2,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.033599592597983646,-0.145888628958219,0.8147291894318544,0.24692083270112564,-0.08073896244391573,0.5721718619889573,0.6478399380204422,0.5555495676854092,-1.1429324904402223,-0.955205276144242
4039,False,0,0,0,6,97,0,219,False,False,348,False,False,True,False,True,False,1.0,0.0,0,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.06728886437038059,-0.2584540854135118,0.9105797257998192,0.33799589576159483,-0.07812342918209522,0.606556461150062,0.8701662733667755,0.5716007457509082,-1.2726682404520056,-1.040793252051296
4040,False,118,0,0,1146,282,39,23859,True,False,221019,False,False,False,True,False,False,0.0,0.0,0,1,0,0.0,0.0,1.0,0,0,0,232,28,79,0,0,0,0,0,0,0,0,0,-0.06733130122709033,-0.49232670524171246,2.5838081568988542,0.9564503198758092,-0.4538255408309816,1.7013332408788973,1.7858130707688857,1.5279700026005103,-3.5001433038244283,-2.969880923401281
4041,False,0,0,0,0,20,1,2,False,False,16,False,False,True,True,True,False,0.0,0.0,0,0,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.23559976373053135,-0.1852031794307599,1.0291714790131343,0.39780123623328056,-0.11383072301394086,0.8400936338429115,0.9191449772703645,0.7015452686683454,-1.617590106967251,-1.2205132434634007
4042,False,0,1,0,1696,641,37,1316,False,False,1170,False,False,True,False,True,False,0.0,0.0,0,0,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.08062629762890282,-0.4766336999099567,2.66637736450576,1.013267574710845,-0.45638210632813075,1.7699284823032482,1.9218596014332423,1.496487473603139,-3.7023032642405376,-3.0634534511362745
4043,True,0,0,0,285,1000,1,23033,False,False,10863,False,False,True,False,True,False,0.0,1.0,0,0,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.4240191029447541,-0.6983566558557232,3.2253229847411737,1.0989500021875258,-0.448003049336569,2.0870759531039615,2.1691679895112053,1.7800800077957817,-4.335549523293545,-3.681910092456624
4044,False,23,0,0,205,263,3,576,False,False,230,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.10299255855376346,-0.2401913585450537,1.1259621532802526,0.44647749925288516,-0.05915494080290685,0.8793237868510436,0.8370253757651778,0.7266920279858942,-1.5449057543365843,-1.2328469374855415
4045,True,0,0,0,491,222,21,16802,True,False,41054,False,False,True,False,True,False,0.0,1.0,0,0,0,0.0,1.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.23919002397434744,-0.4163697374059173,2.565883553706998,0.9051021470132667,-0.38250118766108443,1.7993943722545827,1.9353871784116057,1.3967533969657318,-3.5424227094053236,-2.9454344700688933
4046,False,1,0,0,1664,4378,1,6318,False,False,6762,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,1.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.010182204873145615,-0.6435892708387799,1.1122612383303243,0.4654497733898338,-0.30617116009172385,0.768007344137851,0.8099908748942923,0.5327032871978228,-1.2882804743731306,-1.157565062391147
4047,False,0,0,0,20,397,0,7897,False,False,6778,False,False,True,True,True,False,1.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.17013411221925706,-0.4297961708646788,2.3449064675726827,0.8393448513612781,-0.42563783089544327,1.551243705900226,1.690490948310579,1.3558508185859164,-3.204120517843902,-2.7672120364654074
